Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Overview - Actual Velocity(m/s),
0,-0.321,1.3,0.001066,
0.002,-0.3344,0.3,0.000533,
0.004,-0.3466,0.3,-0.011377,
0.006,-0.3905,0.2,-0.023822,
0.008,-0.4705,0,-0.041777,
0.01,-0.5828,0,-0.060266,
0.012,-0.7397,0,-0.083022,
0.014,-0.9258,0,-0.100888,
0.016,-1.1516,-0.1,-0.115555,
0.018,-1.4202,-0.1,-0.138933,
0.02,-1.7266,-0.1,-0.157333,
0.022,-2.0812,-0.1,-0.180622,
0.024,-2.4737,-0.2,-0.198044,
0.026,-2.9064,-0.2,-0.220799,
0.028,-3.3874,-0.1,-0.243111,
0.03,-3.9019,-0.2,-0.265333,
0.032,-4.4579,-0.1,-0.282666,
0.034,-5.0585,-0.1,-0.302222,
0.036,-5.6951,-0.2,-0.323377,
0.038,-6.372,-0.1,-0.341244,
0.04,-7.0934,-0.1,-0.364533,
0.042,-7.8527,-0.2,-0.385244,
0.044,-8.6577,-0.2,-0.411199,
0.046,-9.511,-0.2,-0.434044,
0.048,-10.4162,-0.3,-0.459555,
0.05,-11.3793,-0.2,-0.489333,
0.052,-12.3925,-0.2,-0.508355,
0.054,-13.4514,-0.2,-0.530577,
0.056,-14.5336,-0.2,-0.541955,
0.058,-15.6371,-0.3,-0.554488,
0.06,-16.7663,-0.5,-0.569688,
0.062,-17.9449,-0.4,-0.594666,
0.064,-19.1735,-0.5,-0.619022,
0.066,-20.4674,-0.4,-0.653688,
0.068,-21.8401,-0.3,-0.698222,
0.07,-23.2989,0,-0.7368,
0.072,-24.8028,0.1,-0.750933,
0.074,-26.2993,0.1,-0.7432,
0.076,-27.7758,0,-0.737333,
0.078,-29.2571,0,-0.743822,
0.08,-30.7677,-0.1,-0.762222,
0.082,-32.3107,-0.1,-0.7704,
0.084,-33.9666,1.7,-0.827911,
0.086,-35.5889,2.5,-0.801333,
0.088,-37.1447,2.3,-0.7704,
0.09,-38.6333,2.2,-0.7384,
0.092,-40.0921,2.3,-0.726488,
0.094,-41.5258,2.5,-0.713422,
0.096,-42.9534,2.6,-0.715022,
0.098,-44.3566,2.7,-0.699911,
0.1,-45.7122,2.9,-0.670044,
0.102,-47.0037,3.1,-0.639111,
0.104,-48.2323,3.1,-0.608711,
0.106,-49.414,3.1,-0.584355,
0.108,-50.5614,3.2,-0.5696,
0.11,-51.6753,3.2,-0.553333,
0.112,-52.7392,3.2,-0.527911,
0.114,-53.7713,3.2,-0.507288,
0.116,-54.7448,3.2,-0.480711,
0.118,-55.6512,3.1,-0.444888,
0.12,-56.5111,2.9,-0.423111,
0.122,-57.3205,2.9,-0.397688,
0.124,-58.0895,2.7,-0.378133,
0.126,-58.8256,2.8,-0.365155,
0.128,-59.5263,2.7,-0.347822,
0.13,-60.1934,2.7,-0.329333,
0.132,-60.8233,2.8,-0.311466,
0.134,-61.4214,2.7,-0.295644,
0.136,-61.9744,2.7,-0.273422,
0.138,-62.4944,2.8,-0.252799,
0.14,-62.9803,2.7,-0.240355,
0.142,-63.4136,1.2,-0.211555,
0.144,-63.792,0,-0.179022,
0.146,-64.1234,0.7,-0.161066,
0.148,-64.4024,0,-0.134044,
0.15,-64.6465,1.1,-0.118844,
0.152,-64.8424,-0.2,-0.093866,
0.154,-64.9993,0,-0.073777,
0.156,-65.1171,-0.5,-0.056977,
0.158,-65.1891,-0.2,-0.035288,
0.16,-65.2239,0,-0.012977,
0.162,-65.227,-0.6,0.001066,
0.164,-65.2416,-1.9,0.016266,
0.166,-65.255,-2.4,-0.006488,
0.168,-65.2935,-2.7,-0.022755,
0.17,-65.3588,-3.1,-0.035288,
0.172,-65.451,-3.3,-0.048888,
0.174,-65.5718,-4,-0.063999,
0.176,-65.7281,-4.5,-0.083022,
0.178,-65.9185,-5.3,-0.100355,
0.18,-66.1547,-5.7,-0.123733,
0.182,-66.4281,-6.4,-0.142133,
0.184,-66.7498,-7.3,-0.166044,
0.186,-67.1142,-8.2,-0.1872,
0.188,-67.4859,-5.4,-0.202933,
0.19,-67.8771,-7.1,-0.197511,
0.192,-68.2561,-7.7,-0.186577,
0.194,-68.6138,-8.3,-0.176888,
0.196,-68.9562,-8.7,-0.168177,
0.198,-69.2748,-9.3,-0.1568,
0.2,-69.5611,-9.6,-0.139466,
0.202,-69.8156,-10,-0.119911,
0.204,-70.0268,-10.5,-0.100977,
0.206,-70.1879,-16.1,-0.072711,
0.208,-70.2831,-19.8,-0.037422,
0.21,-70.3033,-20.1,-0.000622,
0.212,-70.263,-17.2,0.030399,
0.214,-70.1885,-14.1,0.043911,
0.216,-70.0817,-10.9,0.057511,
0.218,-69.9608,-10.5,0.061866,
0.22,-69.8113,-9.6,0.076,
0.222,-69.6471,-9.2,0.087377,
0.224,-69.4439,-8.8,0.101955,
0.226,-69.215,-8.4,0.118311,
0.228,-68.9544,-7.7,0.133422,
0.23,-68.6639,-6.9,0.147555,
0.232,-68.3361,-6.2,0.169244,
0.234,-67.979,-5.3,0.183377,
0.236,-67.6195,-8.1,0.193155,
0.238,-67.2503,-6.4,0.183911,
0.24,-66.9048,-6,0.1704,
0.242,-66.5801,-5.3,0.162222,
0.244,-66.2786,-4.9,0.149155,
0.246,-65.9991,-4.6,0.135555,
0.248,-65.747,-4.4,0.124266,
0.25,-65.5266,-4,0.106399,
0.252,-65.3405,-3.8,0.091111,
0.254,-65.1885,-3.6,0.071644,
0.256,-65.0732,-3.6,0.051999,
0.258,-65.006,-3.5,0.034222,
0.26,-64.9804,-3.9,0.008622,
0.262,-65.006,-3.1,-0.015733,
0.264,-65.0616,-3.4,-0.034755,
0.266,-65.1598,-3.6,-0.053688,
